,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-49.416000000000004,-49.225,-32.737,-32.614,-34.641,-33.661,-34.521,-34.674,-34.719,-34.676,-32.735,-34.782000000000004,-35.738,-32.689,-50.097,-33.524
1,-49.121,-48.828,-33.717,-31.678,-33.657000000000004,-49.443,-35.507,-31.73,-49.52,-34.68,-31.788,-49.761,-48.703,-33.641,-50.127,-32.556
2,-49.045,-48.831,-34.659,-49.329,-52.794000000000004,-50.014,-49.106,-34.673,-34.714,-35.587,-34.651,-31.851,-34.82,-35.582,-49.389,-31.601
3,-49.2,-48.784,-32.704,-32.602000000000004,-32.613,-49.04,-32.55,-49.305,-34.767,-33.577,-33.65,-32.628,-49.214,-50.012,-33.747,-31.664
4,-49.503,-34.677,-49.386,-49.577,-31.676000000000002,-35.557,-35.471000000000004,-49.441,-34.757,-31.589000000000002,-31.674,-49.487,-49.04,-49.694,-49.902,-50.643
5,-31.825,-34.686,-49.189,-33.619,-35.622,-34.615,-34.481,-50.008,-34.762,-35.474000000000004,-33.571,-31.479,-33.745,-49.526,-32.364,-34.652
6,-49.085,-35.711,-34.694,-49.378,-52.814,-32.634,-35.438,-49.677,-33.773,-34.535000000000004,-35.572,-32.617,-33.842,-31.689,-49.495000000000005,-32.639
7,-49.597,-48.842,-34.665,-33.605000000000004,-52.896,-50.035000000000004,-31.631,-34.675000000000004,-49.174,-35.583,-48.988,-49.401,-33.866,-50.048,-32.601,-31.597
8,-33.745,-31.877,-33.709,-31.67,-31.632,-35.625,-49.294000000000004,-33.691,-35.712,-48.889,-35.618,-32.763,-48.962,-34.616,-49.723,-31.621000000000002
9,-31.830000000000002,-32.807,-33.707,-49.334,-32.621,-34.647,-48.843,-49.634,-49.219,-49.288000000000004,-33.717,-49.544000000000004,-49.471000000000004,-49.632,-35.439,-51.807
10,-31.834,-32.812,-35.678,-49.636,-32.635,-49.354,-31.628,-33.643,-32.77,-31.758,-34.657000000000004,-32.887,-49.059,-31.745,-49.783,-34.474000000000004
11,-32.786,-49.005,-50.005,-34.593,-31.664,-34.672000000000004,-34.562,-31.739,-35.706,-49.276,-32.733000000000004,-32.742,-49.251,-49.878,-34.44,-35.517
12,-35.730000000000004,-48.942,-49.318,-49.63,-33.608000000000004,-33.611000000000004,-32.558,-49.805,-32.811,-31.603,-31.694,-34.506,-32.964,-33.623,-35.795,-34.585
13,-34.693,-48.834,-49.599000000000004,-31.667,-31.667,-32.63,-35.443,-34.68,-35.732,-48.932,-33.594,-35.428,-34.829,-31.681,-36.088,-33.679
14,-34.711,-33.699,-35.661,-35.578,-52.268,-31.688000000000002,-49.349000000000004,-32.658,-49.266,-49.108000000000004,-35.502,-33.419000000000004,-49.225,-49.969,-35.251,-32.765
15,-32.763,-49.046,-33.697,-32.608000000000004,-31.651,-49.429,-35.492,-31.720000000000002,-31.866,-33.54,-31.715,-49.386,-48.786,-34.583,-32.933,-51.022
16,-35.735,-31.855,-32.701,-31.658,-33.618,-32.661,-35.468,-50.009,-49.348,-33.582,-49.044000000000004,-33.648,-34.83,-49.919000000000004,-32.715,-50.837
17,-49.411,-33.751,-32.738,-49.300000000000004,-34.598,-32.653,-33.536,-35.64,-49.231,-49.365,-48.876,-35.633,-33.868,-49.906,-49.747,-31.624000000000002
18,-49.333,-48.996,-31.779,-49.578,-31.673000000000002,-32.669000000000004,-31.647000000000002,-49.754,-35.694,-48.978,-34.651,-49.426,-48.566,-50.003,-50.373,-35.522
19,-49.297000000000004,-48.536,-35.683,-35.563,-33.609,-32.664,-35.509,-35.646,-49.586,-33.705,-31.798000000000002,-49.236000000000004,-35.803,-33.662,-31.476,-31.599
20,-34.711,-33.778,-31.769000000000002,-49.615,-52.651,-49.728,-32.57,-35.641,-31.844,-35.551,-48.7,-49.392,-48.714,-35.602000000000004,-33.57,-50.495000000000005
21,-32.771,-48.961,-31.785,-33.603,-32.603,-34.603,-34.531,-33.676,-31.864,-35.489,-48.266,-34.548,-49.006,-49.674,-32.853,-35.550000000000004
22,-33.735,-32.74,-33.696,-49.29,-33.658,-31.668,-49.609,-32.657000000000004,-33.793,-33.546,-32.607,-34.394,-49.074,-49.712,-35.259,-31.756
23,-35.733000000000004,-49.108000000000004,-35.679,-49.207,-35.681,-49.09,-35.43,-31.701,-49.271,-34.545,-48.699,-31.476,-32.786,-50.279,-49.386,-35.711
24,-49.336,-31.85,-32.712,-35.58,-35.667,-49.35,-49.251,-31.707,-32.815,-31.557000000000002,-31.63,-49.091,-34.765,-35.549,-50.203,-32.697
25,-49.268,-31.833000000000002,-31.734,-31.639,-31.655,-49.803000000000004,-31.588,-31.704,-32.824,-35.517,-48.609,-31.636,-48.905,-33.607,-34.868,-50.623
26,-34.685,-32.779,-49.702,-35.547000000000004,-33.624,-34.624,-49.109,-32.707,-35.718,-34.568,-34.632,-49.524,-32.948,-50.053000000000004,-35.76,-50.957
27,-32.779,-49.047000000000004,-49.646,-32.63,-35.6,-49.254,-32.596000000000004,-31.717000000000002,-33.742,-33.665,-35.632,-49.59,-31.897000000000002,-32.664,-33.403,-33.528
