,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-50.93,-31.898,-31.778000000000002,-33.593,-35.634,-49.191,-33.506,-50.727000000000004,-33.8,-33.562,-49.134,-48.79,-47.867000000000004,-35.45,-48.563,-31.771
1,-35.864,-31.838,-34.672000000000004,-49.735,-34.637,-49.359,-49.518,-50.939,-35.738,-32.667,-31.657,-33.372,-35.603,-34.489,-32.176,-31.835
2,-50.59,-50.206,-49.972,-31.662,-31.662,-35.584,-35.492,-50.451,-34.783,-32.591,-31.664,-48.651,-47.751,-32.543,-35.02,-32.709
3,-32.803,-33.852000000000004,-33.732,-34.566,-32.618,-33.626,-35.477000000000004,-33.661,-50.297000000000004,-34.533,-32.667,-48.584,-48.124,-35.475,-31.92,-31.668
4,-35.775,-31.983,-49.935,-31.676000000000002,-34.595,-34.624,-49.72,-34.666000000000004,-31.900000000000002,-35.577,-35.633,-34.631,-32.866,-32.577,-48.6,-33.544000000000004
5,-31.851,-31.981,-49.925000000000004,-35.562,-52.671,-32.661,-31.622,-35.636,-34.803,-33.613,-31.782,-48.327,-31.909,-48.672000000000004,-35.519,-34.489
6,-33.804,-34.846000000000004,-50.43,-31.688000000000002,-31.658,-32.648,-49.974000000000004,-50.676,-34.808,-49.379,-32.728,-31.703,-48.136,-48.537,-32.683,-50.435
7,-32.807,-32.858000000000004,-35.703,-35.559,-52.386,-32.627,-35.501,-50.743,-50.787,-32.574,-49.11,-48.875,-35.683,-31.593,-35.063,-33.675
8,-33.84,-50.037,-49.363,-31.671,-34.615,-33.659,-31.595000000000002,-32.667,-34.771,-35.582,-33.586,-34.368,-47.951,-33.523,-33.212,-34.717
9,-51.176,-34.752,-35.721000000000004,-33.606,-34.621,-34.649,-49.77,-34.655,-34.779,-31.647000000000002,-34.546,-31.445,-47.69,-48.71,-32.25,-49.961
10,-35.788000000000004,-50.498,-50.372,-33.602000000000004,-51.452,-31.699,-32.546,-33.644,-49.895,-34.558,-35.574,-34.489,-48.133,-35.45,-34.976,-50.374
11,-31.848,-34.807,-33.729,-31.68,-52.057,-32.635,-31.605,-50.611000000000004,-50.192,-32.58,-32.675,-34.504,-35.749,-48.413000000000004,-48.71,-35.575
12,-33.767,-31.968,-34.703,-34.575,-34.629,-49.160000000000004,-49.182,-32.69,-34.813,-34.596000000000004,-31.764,-48.96,-33.815,-34.503,-34.730000000000004,-33.583
13,-34.784,-34.866,-35.74,-35.58,-51.412,-32.662,-49.067,-32.718,-35.741,-35.628,-31.794,-32.741,-32.879,-33.563,-35.454,-33.515
