,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-34.661,-45.672000000000004,-31.833000000000002,-35.436,-33.658,-45.015,-33.697,-45.683,-45.56,-32.125,-32.165,-35.864,-35.934,-34.87,-44.952,-45.676
1,-45.885,-35.774,-33.838,-32.796,-46.107,-45.17,-45.254,-34.948,-34.160000000000004,-35.86,-35.938,-35.943,-44.83,-44.808,-35.103,-33.244
2,-45.997,-32.876,-31.87,-31.812,-45.986000000000004,-45.121,-33.729,-45.508,-35.039,-45.752,-45.399,-35.69,-44.627,-44.919000000000004,-36.332,-35.055
3,-32.764,-45.472,-31.773,-34.452,-31.752,-35.531,-35.452,-32.871,-33.047000000000004,-33.81,-45.15,-32.758,-35.797000000000004,-44.849000000000004,-44.800000000000004,-45.588
4,-45.925000000000004,-34.524,-45.229,-33.417,-31.597,-34.496,-31.644000000000002,-45.424,-33.876,-34.589,-34.669000000000004,-35.5,-33.936,-34.64,-44.71,-45.479
5,-33.751,-45.666000000000004,-31.883,-34.606,-35.597,-45.188,-31.899,-45.637,-32.273,-34.874,-45.478,-45.313,-32.433,-33.08,-44.967,-45.89
6,-31.758,-32.775,-32.693,-45.102000000000004,-33.619,-45.024,-31.768,-45.672000000000004,-34.912,-45.551,-45.300000000000004,-32.065,-35.833,-44.856,-44.799,-45.536
7,-33.688,-32.832,-33.711,-31.745,-45.903,-45.109,-45.267,-32.918,-33.981,-45.414,-35.817,-34.019,-35.87,-35.705,-44.869,-45.550000000000004
8,-31.983,-32.973,-45.42,-31.91,-46.185,-34.806,-31.979,-45.739000000000004,-36.015,-45.550000000000004,-32.321,-35.965,-32.454,-34.973,-45.168,-34.095
9,-34.453,-35.476,-31.635,-35.268,-45.977000000000004,-34.502,-45.092,-45.62,-45.571,-45.384,-45.082,-45.005,-35.75,-33.736000000000004,-44.928000000000004,-33.849000000000004
10,-34.428,-32.563,-45.419000000000004,-35.222,-32.483000000000004,-31.624000000000002,-34.36,-35.471000000000004,-32.88,-33.586,-35.46,-32.552,-32.931,-33.641,-33.409,-34.821
11,-34.637,-45.437,-35.523,-45.175000000000004,-32.692,-35.555,-33.642,-33.839,-45.68,-33.796,-34.79,-34.655,-35.889,-32.967,-44.858000000000004,-45.654
12,-45.591,-31.705000000000002,-45.122,-35.197,-31.551000000000002,-44.848,-45.212,-34.561,-35.64,-33.581,-34.618,-33.64,-34.829,-44.811,-44.934,-45.287
13,-45.605000000000004,-31.777,-45.39,-31.592000000000002,-45.834,-44.986000000000004,-35.371,-35.559,-32.962,-45.431000000000004,-34.731,-31.898,-35.765,-35.559,-34.854,-32.935
14,-45.758,-33.689,-45.392,-45.033,-46.091,-34.607,-34.555,-31.928,-32.123,-34.796,-35.765,-33.038000000000004,-44.816,-34.775,-31.987000000000002,-33.876
15,-45.63,-45.299,-31.873,-32.702,-33.678,-32.836,-34.643,-32.043,-34.963,-35.852000000000004,-32.204,-34.075,-35.043,-44.854,-45.192,-45.679
16,-35.550000000000004,-33.730000000000004,-31.777,-32.628,-45.948,-45.013,-33.634,-45.457,-45.632,-33.821,-32.097,-45.132,-32.275,-45.12,-35.77,-32.078
17,-35.538000000000004,-45.375,-35.519,-32.631,-34.61,-45.098,-35.494,-45.543,-33.106,-35.634,-32.97,-32.838,-35.007,-32.021,-33.482,-45.736000000000004
